Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
bin48,3,185.7876679,868,0.057804469,0.333333333,1,-1.111385561,0.444444444
bin47,1,0,0,1.48E-175,0,13,0,0
bin46,1,0,0,1.52E-05,0,6,-1.224744871,0
bin44,3,9,9,2.69E-102,0,5,0.935414347,0
bin43,2,96,647,0.000125652,0,6,0.816496581,0
bin42,1,0,0,1.48E-175,0,20,0,0
bin40,2,190,1292,0.001021967,0,6,0.816496581,0
bin32,5,572.414872,2214,0.000707784,0.2,4,0.87988269,0.32
bin30,1,0,0,1.48E-175,0,17,0,0
bin29,2,96,341,0.01980155,0,1,-1.111385561,0
bin28,6,151.9894871,2266,0.015222949,0.6,0,1.286535042,0.277777778
bin25,1,0,0,1.48E-175,0,20,0,0
bin23,3,135.4763998,1024,0.003410537,0,3,1.040833,0
bin21,9,133.4750929,3014,0.271803709,0.5,1,0.91133616,0
bin17,6,0,0,0.000945157,1,7,0.042582116,0
bin16,1,0,0,1.48E-175,0,18,0,0
bin15,11,213.8197316,2526,0.335213613,0.490909091,1,1.489256652,0
bin12,1,0,0,0.02555918,0,1,-1.400345807,0
bin11,1,0,0,0.004385997,0,2,-1.414213562,0
bin8,1,0,0,0.035025524,0,1,-1.400345807,0
bin6,1,0,0,1.48E-175,0,17,0,0
bin2,3,128.2876679,606,0.007629179,0,3,0,0.444444444
